,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
0,0.0,6.0,3597.8876953569643,1226.737060583818,3609.181640580536,1236.120605431807,1.0,1.0,690.6774780273438,419.59797272858793,28.06043445875045,6.714595059314396
1,1.0,7.0,3603.744507617172,1228.4289484163364,3616.4155452570135,1239.086449611446,1.0,1.0,691.9320050671095,420.39151225658514,28.12832412166728,6.72772870621687
2,2.0,8.0,3606.576102392335,1229.55235386484,3618.3117546225,1239.7128004406654,1.0,1.0,692.3850862972552,420.68961888167865,28.146983009059948,6.730260721337995
3,4.0,9.0,3609.259168376197,1231.1428000390154,3620.598985638962,1241.0453083176642,1.0,1.0,692.8614064264527,421.1876036459528,28.17478321786429,6.736130140824983
4,6.0,10.0,3612.1699124863767,1232.415936866954,3623.497927476163,1242.3081387973466,1.0,1.0,693.4181679964101,421.6196573353993,28.203431620854364,6.745558651454058
5,8.0,12.0,3615.0806627511647,1233.6890790694115,3626.396863158756,1243.57096390251,1.0,1.0,693.9749295663675,422.0517110248459,28.27276170164821,6.762277751597998
6,10.0,14.0,3601.437114265391,1236.2040359887424,3612.7611121630903,1245.7914424244818,1.0,1.0,691.3606633660629,422.85848891484557,28.107525053049592,6.772451895503907
7,12.0,15.0,3596.882060142408,1236.4362419754686,3608.14445555548,1245.9816679819055,1.0,1.0,690.481707754381,422.93045873347853,28.076007786422664,6.782359940102472
8,14.0,16.0,3591.069006137928,1237.2310327168598,3602.369501982511,1246.8573450422314,1.0,1.0,689.3711903615422,423.21505695154883,28.064543491660487,6.782134435878816
9,16.0,17.0,3583.8714184475834,1237.8147169987324,3595.280502029386,1247.4675557986095,1.0,1.0,688.0020590457096,423.41846129139896,27.906299778928915,6.529511792979451
10,17.0,18.0,3575.486057600902,1237.9328749112922,3586.875438009805,1247.4995379118334,1.0,1.0,686.3929766626927,423.44404070319916,27.8738277593751,6.787606169358438
11,18.0,19.0,3566.707437350781,1237.9312513919945,3578.332808669061,1247.8085078333902,1.0,1.0,684.7330235769016,423.49640342358407,27.598063464500303,6.526040758094053
12,19.0,20.0,3562.4397166783965,1239.1454867304783,3573.901261311905,1249.171941373179,1.0,1.0,683.8993437240706,423.9355618250675,27.746682894646614,6.7991110859324655
13,20.0,21.0,3569.0886095111346,1240.1404866693292,3580.8102077832477,1250.4824378182916,1.0,1.0,685.1986366573784,424.32835009789096,27.816298277392878,6.8093014267821275
14,21.0,22.0,3574.4368962686435,1241.9447002688576,3586.0019761716426,1252.212823093207,1.0,1.0,686.2087252755275,424.93054101724056,27.727051551385113,6.5661249055061806
15,22.0,23.0,3579.0451359799536,1243.4482205394904,3590.394085137997,1253.4705141491174,1.0,1.0,687.0712586904704,425.4009696136147,27.954654130054397,6.832959719168343
16,23.0,24.0,3582.7049401785644,1244.64880897146,3593.9808864181405,1254.5452419481614,1.0,1.0,687.765725048851,425.7886160826022,27.92711391812267,6.841984411996393
